ID,File,Vulnerability,Detected_Deepseek,DeepSeek_Raw_Result,DeepSeek_Time,CodeLlama_Detected,CodeLlama_Raw_Result,CodeLlama_Time
VULN-01.ts,VULN-01.ts,XSS,,,,,,,
VULN-02.js,VULN-02.js,SQLi,,,,,,,
VULN-03.ts,VULN-03.ts,SQLi,,,,,,,
VULN-04.js,VULN-04.js,NoSQLi,,,,,,,
VULN-05.ts,VULN-05.ts,Broken Access Control,,,,,,,
VULN-06.js,VULN-06.js,Sensitive Data Exposure,,,,,,,
VULN-07.ts,VULN-07.ts,SSRF,,,,,,,
VULN-08.js,VULN-08.js,CSRF,,,,,,,
VULN-09.ts,VULN-09.ts,Broken Access Control,,,,,,,
VULN-10.js,VULN-10.js,Validação Insuficiente,,,,,,,
SAFE-01.ts,SAFE-01.ts,N/A,,,,,,,
SAFE-02.js,SAFE-02.js,N/A,,,,,,,
SAFE-03.ts,SAFE-03.ts,N/A,,,,,,,
SAFE-04.js,SAFE-04.js,N/A,,,,,,,
SAFE-05.ts,SAFE-05.ts,N/A,,,,,,,
